0.05, 1.00, 0.01, 0.70, 0.00, 2.00, 0.00
0.18, 0.85, 0.05, 0.47, 0.00, 3.00, 0.00
0.14, 0.69, 0.01, 0.47, 0.00, 4.00, 0.00
0.05, 0.54, 0.01, 0.74, 1.00, 5.00, 0.00
0.14, 0.38, 0.01, 0.62, 1.00, 6.00, 0.00
0.05, 0.23, 0.05, 0.59, 0.00, 7.00, 0.00
0.00, 0.08, 0.05, 0.40, 1.00, 8.00, 0.00
0.07, 0.08, 0.02, 0.67, 0.00, 9.00, 0.00
0.09, 0.23, 0.02, 0.70, 0.00, 10.00, 0.00
0.00, 0.38, 0.02, 0.62, 0.00, 11.00, 0.00
0.00, 0.54, 0.05, 0.59, 0.00, 12.00, 0.00
0.09, 0.69, 0.05, 0.71, 0.00, 13.00, 0.00
0.14, 0.85, 0.02, 0.70, 0.00, 14.00, 0.00
0.00, 1.00, 0.01, 0.92, 0.00, 15.00, 0.00
0.56, 1.00, 0.10, 0.27, 0.00, 2.00, 1.00
0.00, 1.00, 0.08, 0.49, 0.00, 3.00, 1.00
0.13, 1.00, 0.01, 0.53, 0.00, 2.00, 2.00
0.12, 0.83, 0.02, 0.45, 0.00, 3.00, 2.00
0.05, 0.67, 0.02, 0.67, 0.00, 4.00, 2.00
0.13, 0.50, 0.01, 0.60, 0.00, 5.00, 2.00
0.11, 0.33, 0.01, 0.67, 0.00, 6.00, 2.00
0.00, 0.17, 0.02, 0.70, 0.00, 7.00, 2.00
0.04, 0.00, 0.01, 0.64, 0.00, 8.00, 2.00
0.25, 0.17, 0.01, 0.48, 1.00, 9.00, 2.00
0.05, 0.33, 0.01, 0.52, 1.00, 10.00, 2.00
0.07, 0.50, 0.02, 0.62, 0.00, 11.00, 2.00
0.20, 0.67, 0.02, 0.45, 0.00, 12.00, 2.00
0.07, 0.83, 0.02, 0.54, 0.00, 13.00, 2.00
0.00, 1.00, 0.02, 0.79, 0.00, 14.00, 2.00
0.23, 1.00, 0.03, 0.60, 0.00, 2.00, 3.00
0.10, 0.89, 0.03, 0.64, 0.00, 3.00, 3.00
0.18, 0.78, 0.03, 0.73, 0.00, 4.00, 3.00
0.06, 0.67, 0.03, 0.73, 0.00, 5.00, 3.00
0.00, 0.56, 0.03, 0.54, 0.00, 6.00, 3.00
0.00, 0.44, 0.01, 0.95, 0.00, 7.00, 3.00
0.18, 0.33, 0.03, 0.63, 1.00, 8.00, 3.00
0.25, 0.22, 0.01, 0.44, 1.00, 9.00, 3.00
0.17, 0.11, 0.01, 0.64, 1.00, 10.00, 3.00
0.00, 0.00, 0.03, 0.92, 1.00, 11.00, 3.00
0.00, 0.11, 0.03, 0.82, 0.00, 12.00, 3.00
0.18, 0.22, 0.01, 0.64, 0.00, 13.00, 3.00
0.00, 0.33, 0.01, 0.62, 1.00, 14.00, 3.00
0.00, 0.44, 0.03, 0.70, 0.00, 15.00, 3.00
0.31, 0.56, 0.03, 0.64, 0.00, 16.00, 3.00
0.12, 0.67, 0.03, 0.48, 0.00, 17.00, 3.00
0.00, 0.78, 0.02, 0.62, 0.00, 18.00, 3.00
0.00, 0.89, 0.01, 0.75, 0.00, 19.00, 3.00
0.00, 1.00, 0.01, 1.00, 0.00, 20.00, 3.00
0.12, 1.00, 0.02, 0.57, 0.00, 2.00, 4.00
0.06, 0.82, 0.03, 0.52, 0.00, 3.00, 4.00
0.12, 0.64, 0.03, 0.52, 0.00, 4.00, 4.00
0.13, 0.45, 0.02, 0.54, 0.00, 5.00, 4.00
0.00, 0.27, 0.01, 0.78, 0.00, 6.00, 4.00
0.22, 0.09, 0.03, 0.41, 0.00, 7.00, 4.00
0.14, 0.09, 0.03, 0.50, 0.00, 8.00, 4.00
0.14, 0.27, 0.03, 0.37, 1.00, 9.00, 4.00
0.22, 0.45, 0.02, 0.44, 0.00, 10.00, 4.00
0.14, 0.64, 0.02, 0.63, 0.00, 11.00, 4.00
0.08, 0.82, 0.02, 0.55, 1.00, 12.00, 4.00
0.05, 1.00, 0.02, 0.68, 0.00, 13.00, 4.00
0.14, 1.00, 0.03, 0.56, 0.00, 2.00, 5.00
0.00, 0.87, 0.08, 0.51, 1.00, 3.00, 5.00
0.05, 0.73, 0.02, 0.62, 0.00, 4.00, 5.00
0.11, 0.60, 0.08, 0.65, 0.00, 5.00, 5.00
0.20, 0.47, 0.01, 0.64, 1.00, 6.00, 5.00
0.07, 0.33, 0.01, 0.69, 1.00, 7.00, 5.00
0.13, 0.20, 0.01, 0.58, 0.00, 8.00, 5.00
0.12, 0.07, 0.08, 0.63, 1.00, 9.00, 5.00
0.00, 0.07, 0.01, 0.47, 0.00, 10.00, 5.00
0.00, 0.20, 0.02, 0.82, 0.00, 11.00, 5.00
0.00, 0.33, 0.08, 0.63, 0.00, 12.00, 5.00
0.00, 0.47, 0.08, 0.68, 0.00, 13.00, 5.00
0.33, 0.60, 0.08, 0.08, 0.00, 14.00, 5.00
0.00, 0.73, 0.08, 0.65, 0.00, 15.00, 5.00
0.00, 0.87, 0.08, 0.82, 0.00, 16.00, 5.00
0.00, 1.00, 0.01, 0.96, 0.00, 17.00, 5.00
0.16, 1.00, 0.04, 0.50, 1.00, 2.00, 6.00
0.18, 0.50, 0.03, 0.43, 1.00, 3.00, 6.00
0.08, 0.00, 0.02, 0.49, 1.00, 4.00, 6.00
0.08, 0.50, 0.02, 0.45, 1.00, 5.00, 6.00
0.24, 1.00, 0.03, 0.45, 1.00, 6.00, 6.00
0.24, 1.00, 0.03, 0.55, 0.00, 2.00, 7.00
0.17, 0.88, 0.03, 0.47, 0.00, 3.00, 7.00
0.00, 0.76, 0.03, 0.74, 0.00, 4.00, 7.00
0.17, 0.65, 0.01, 0.55, 0.00, 5.00, 7.00
0.08, 0.53, 0.03, 0.59, 1.00, 6.00, 7.00
0.00, 0.41, 0.03, 0.60, 0.00, 7.00, 7.00
0.04, 0.29, 0.03, 0.66, 0.00, 8.00, 7.00
0.14, 0.18, 0.03, 0.44, 0.00, 9.00, 7.00
0.20, 0.06, 0.03, 0.26, 1.00, 10.00, 7.00
0.06, 0.06, 0.01, 0.62, 1.00, 11.00, 7.00
0.08, 0.18, 0.01, 0.61, 0.00, 12.00, 7.00
0.07, 0.29, 0.01, 0.69, 0.00, 13.00, 7.00
0.00, 0.41, 0.03, 0.55, 0.00, 14.00, 7.00
0.08, 0.53, 0.01, 0.57, 0.00, 15.00, 7.00
0.00, 0.65, 0.03, 0.57, 0.00, 16.00, 7.00
0.00, 0.76, 0.01, 0.74, 0.00, 17.00, 7.00
0.00, 0.88, 0.03, 0.62, 0.00, 18.00, 7.00
0.15, 1.00, 0.01, 0.67, 0.00, 19.00, 7.00
0.23, 1.00, 0.04, 0.42, 0.00, 2.00, 8.00
0.13, 0.85, 0.04, 0.56, 0.00, 3.00, 8.00
0.20, 0.69, 0.04, 0.50, 0.00, 4.00, 8.00
0.07, 0.54, 0.04, 0.69, 0.00, 5.00, 8.00
0.04, 0.38, 0.02, 0.66, 0.00, 6.00, 8.00
0.06, 0.23, 0.02, 0.76, 0.00, 7.00, 8.00
0.25, 0.08, 0.01, 0.28, 0.00, 8.00, 8.00
0.08, 0.08, 0.02, 0.47, 0.00, 9.00, 8.00
